facility_id,name,address,state,district,latitude,longitude,description,capability,procedure,equipment,specialties,source_urls,numberDoctors,capacity,yearEstablished
MH-MUM-001,KEM Hospital,"Acharya Donde Marg, Parel",Maharashtra,Mumbai,19.004,72.842,Tertiary care hospital providing 24x7 emergency obstetric and maternity services.,emergency obstetric; maternity; ICU; trauma,caesarean; assisted delivery; emergency laparotomy; mechanical ventilation,operation theatre; fetal monitor; neonatal resuscitation; ventilator; icu bed; ct scan,obstetrics; gynaecology; general surgery; intensivist,https://kem.example.org,140,1800,1926
MH-MUM-002,Sion Hospital,Sion West,Maharashtra,Mumbai,19.043,72.862,Government hospital with critical care and emergency maternity units.,ICU; emergency obstetric; maternity,mechanical ventilation; intubation; caesarean,ventilator; icu bed; multipara monitor; labour table,critical care; obstetrics; anaesthesia,https://sion.example.org,95,1400,1947
MH-MUM-003,Wadia Maternity Hospital,Parel,Maharashtra,Mumbai,19.001,72.841,Dedicated maternity and neonatal hospital.,emergency obstetric; maternity; NICU,caesarean; neonatal resuscitation; surfactant,incubator; radiant warmer; neonatal ventilator; fetal monitor,obstetrics; neonatology; paediatrics,https://wadia.example.org,70,400,1926
MH-MUM-004,Lilavati Hospital,Bandra West,Maharashtra,Mumbai,19.051,72.829,Multispeciality private hospital with oncology and dialysis units.,oncology; dialysis; ICU,chemotherapy; haemodialysis; mechanical ventilation,linear accelerator; dialysis machine; ventilator; icu bed,oncology; nephrology; critical care,https://lilavati.example.org,110,320,1997
MH-MUM-005,Rajawadi Hospital,Ghatkopar East,Maharashtra,Mumbai,19.086,72.908,Suburban hospital offering maternity services.,maternity; emergency obstetric,assisted delivery,labour table,obstetrics,,30,300,1978
MH-MUM-006,Hinduja Clinic Khar,Khar West,Maharashtra,Mumbai,19.07,72.838,"Day clinic; dialysis available on request, limited hours.",dialysis,haemodialysis,dialysis machine,nephrology,https://hinduja-khar.example.org,12,20,2012
MH-GAD-001,Gadchiroli District Hospital,Gadchiroli,Maharashtra,Gadchiroli,20.18,80.003,District hospital.,general; maternity,,,,,8,200,1985
MH-GAD-002,Aheri Rural Hospital,Aheri,Maharashtra,Gadchiroli,19.42,80.0,Rural hospital.,,,,,,3,50,1990
MH-GAD-003,Bhamragad PHC,Bhamragad,Maharashtra,Gadchiroli,19.3,80.4,"Primary health centre, basic services only.",general,,,,,2,10,2001
MH-GAD-004,Etapalli Sub-centre,Etapalli,Maharashtra,Gadchiroli,19.68,80.23,,,,,,,1,6,2005
MH-PUN-001,Sunrise Multispeciality,"Hadapsar, Pune",Maharashtra,Pune,18.5,73.94,Advanced NICU and ICU facility available.,NICU; ICU; oncology,,,,https://sunrise.example.org,15,80,2015
MH-PUN-002,Greenfield Care Centre,"Kothrud, Pune",Maharashtra,Pune,18.507,73.807,ICU not functional currently; maternity ward operational.,ICU; maternity,assisted delivery,labour table,obstetrics,,18,120,2010
MH-PUN-003,Ruby Hall Clinic,"Sassoon Road, Pune",Maharashtra,Pune,18.536,73.877,Tertiary hospital with trauma and oncology services.,trauma; oncology; ICU,trauma surgery; chemotherapy; mechanical ventilation,ct scan; operation theatre; ventilator; chemo daycare,orthopaedics; oncology; critical care,https://rubyhall.example.org,130,750,1959
BR-PAT-001,PMCH Patna,"Ashok Rajpath, Patna",Bihar,Patna,25.621,85.178,Large government medical college hospital with maternity and trauma care.,emergency obstetric; trauma; ICU,caesarean; trauma surgery; mechanical ventilation,operation theatre; ventilator; ct scan,obstetrics; general surgery; critical care,https://pmch.example.org,85,1700,1925
BR-PAT-002,Patna Sadar Hospital,Patna,Bihar,Patna,25.6,85.14,"Sadar hospital; maternity services, sometimes limited staff.",maternity; emergency obstetric,assisted delivery,labour table,obstetrics,,20,250,1972
BR-PAT-003,Kidney Care Patna,"Kankarbagh, Patna",Bihar,Patna,25.59,85.16,Dialysis centre.,dialysis,haemodialysis,dialysis machine; reverse osmosis,nephrology,https://kidneycare.example.org,9,30,2016
OD-MAL-001,Malkangiri DHH,Malkangiri,Odisha,Malkangiri,18.36,81.88,District headquarters hospital.,maternity; NICU,,,,,6,180,1992
OD-MAL-002,Kalimela CHC,Kalimela,Odisha,Malkangiri,18.02,81.9,Community health centre.,general,,,,,2,30,2003
RJ-JAI-001,SMS Hospital,"JLN Marg, Jaipur",Rajasthan,Jaipur,26.897,75.814,"Major government hospital with oncology, dialysis and ICU.",oncology; dialysis; ICU; trauma,chemotherapy; haemodialysis; mechanical ventilation; trauma surgery,linear accelerator; dialysis machine; ventilator; ct scan,oncology; nephrology; critical care; orthopaedics,https://sms.example.org,160,2300,1959
RJ-JAI-002,Jaipur Maternity Home,Jaipur,Rajasthan,Jaipur,26.912,75.787,Maternity home with neonatal care.,maternity; emergency obstetric; NICU,caesarean; neonatal resuscitation,incubator; radiant warmer; fetal monitor,obstetrics; neonatology,https://jaipurmat.example.org,28,160,2008
